State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.)
AL,University of Alabama,Tuscaloosa,35487,"38,000","Tuscaloosa County commercial property tax ~0.33%. Accessible via I-20/59. Public transit available."
AL,Auburn University,Auburn,36849,"30,000","Lee County commercial property tax ~0.32%. Accessible via I-85. Local transit available."
AL,University of Alabama at Birmingham (UAB),Birmingham,35294,"22,000","Jefferson County commercial property tax ~0.56%. Major transportation hub (I-20, I-59, I-65). Public transit available."
AL,University of Alabama in Huntsville (UAH),Huntsville,35899,"9,000","Madison County commercial property tax ~0.40%. Accessible via I-565. Public transit available."
AL,University of South Alabama,Mobile,36688,"14,000","Mobile County commercial property tax ~0.47%. Accessible via I-10, I-65. Public transit available."
AL,Alabama State University,Montgomery,36104,"4,000","Montgomery County commercial property tax ~0.45%. Accessible via I-65, I-85. Public transit available."
AL,Alabama A&M University,Normal,35762,"6,000","Madison County commercial property tax ~0.40%. Accessible via I-565. Public transit available."
AL,Troy University,Troy,36082,"16,000","Pike County commercial property tax ~0.41%. Accessible via US Hwys 231 & 29. Limited public transit."
AL,Jacksonville State University,Jacksonville,36265,"9,000","Calhoun County commercial property tax ~0.50%. Accessible via US Hwy 431. Limited public transit."
AL,University of West Alabama,Livingston,35470,"2,500","Sumter County commercial property tax ~0.43%. Accessible via I-20/59. Limited public transit."
AL,University of Montevallo,Montevallo,35115,"2,500","Shelby County commercial property tax ~0.46%. Accessible via I-65. Limited public transit."
AL,Athens State University,Athens,35611,"3,500","Limestone County commercial property tax ~0.42%. Accessible via I-65. Limited public transit."
AZ,University of Arizona,Tucson,85721,"49,000","Pima County commercial property tax ~1.0%. Accessible via Sun Link streetcar. Public transit available."
AZ,Northern Arizona University,Flagstaff,86011,"29,000","Coconino County commercial property tax ~0.7%. Accessible via Mountain Line transit. Limited highway access."
AR,University of Arkansas,Fayetteville,72701,"29,000","Washington County commercial property tax ~0.9%. Accessible via Ozark Regional Transit."
AR,Arkansas State University,Jonesboro,72401,"13,000","Craighead County commercial property tax ~0.8%. Accessible via Jonesboro Economic Transit System (JETS)."
AR,University of Central Arkansas,Conway,72035,"10,000","Faulkner County commercial property tax ~0.7%. Limited public transit."
AR,University of Arkansas at Little Rock,Little Rock,72204,"9,000","Pulaski County commercial property tax ~1.1%. Accessible via Rock Region METRO."
AR,Arkansas Tech University,Russellville,72801,"9,000","Pope County commercial property tax ~0.6%. Limited public transit."
AR,Henderson State University,Arkadelphia,71999,"3,000","Clark County commercial property tax ~0.7%. Limited public transit."
AR,Southern Arkansas University,Magnolia,71753,"4,000","Columbia County commercial property tax ~0.6%. Limited public transit."
AR,University of Arkansas at Pine Bluff,Pine Bluff,71601,"2,500","Jefferson County commercial property tax ~0.9%. Limited public transit."
AR,University of Arkansas at Monticello,Monticello,71656,"3,000","Drew County commercial property tax ~0.7%. Limited public transit."
AR,University of Arkansas Fort Smith,Fort Smith,72903,"6,000","Sebastian County commercial property tax ~0.8%. Accessible via Fort Smith Transit."
CA,University of California, Berkeley,Berkeley,94720,"45,000","Alameda County commercial property tax ~1.1%. Accessible via BART."
CA,University of California, Davis,Davis,95616,"40,000","Yolo County commercial property tax ~1.1%. Accessible via Amtrak, Unitrans."
CA,University of California, Irvine,Irvine,92697,"37,000","Orange County commercial property tax ~1.0%. Accessible via OCTA."
CA,University of California, Los Angeles,Los Angeles,90095,"46,000","Los Angeles County commercial property tax ~1.2%. Accessible via LA Metro."
CA,University of California, Merced,Merced,95343,"9,000","Merced County commercial property tax ~1.1%. Accessible via The Bus."
CA,University of California, Riverside,Riverside,92521,"27,000","Riverside County commercial property tax ~1.1%. Accessible via RTA."
CA,University of California, San Diego,San Diego,92093,"42,000","San Diego County commercial property tax ~1.1%. Accessible via MTS Trolley."
CA,University of California, San Francisco,San Francisco,94143,"3,000","San Francisco County commercial property tax ~1.2%. Accessible via Muni Metro. (Primarily graduate/professional)."
CA,University of California, Santa Barbara,Santa Barbara,93106,"26,000","Santa Barbara County commercial property tax ~1.1%. Accessible via MTD."
CA,University of California, Santa Cruz,Santa Cruz,95064,"19,000","Santa Cruz County commercial property tax ~1.1%. Accessible via Santa Cruz METRO."
CA,California State University, Bakersfield,Bakersfield,93311,"11,000","Kern County commercial property tax ~1.1%. Accessible via Golden Empire Transit."
CA,California State University, Channel Islands,Camarillo,93012,"7,000","Ventura County commercial property tax ~1.1%. Accessible via VCTC."
CA,California State University, Chico,Chico,95929,"16,000","Butte County commercial property tax ~1.0%. Accessible via B-Line."
CA,California State University, Dominguez Hills,Carson,90747,"17,000","Los Angeles County commercial property tax ~1.2%. Accessible via LA Metro."
CA,California State University, East Bay,Hayward,94542,"15,000","Alameda County commercial property tax ~1.1%. Accessible via AC Transit, BART."
CA,California State University, Fresno,Fresno,93740,"25,000","Fresno County commercial property tax ~1.2%. Accessible via FAX."
CA,California State University, Fullerton,Fullerton,92831,"40,000","Orange County commercial property tax ~1.0%. Accessible via OCTA."
CA,California State University, Long Beach,Long Beach,90840,"39,000","Los Angeles County commercial property tax ~1.2%. Accessible via Long Beach Transit."
CA,California State University, Los Angeles,Los Angeles,90032,"27,000","Los Angeles County commercial property tax ~1.2%. Accessible via LA Metro."
CA,California State University, Maritime Academy,Vallejo,94590,"1,000","Solano County commercial property tax ~1.2%. Specialized focus."
CA,California State University, Monterey Bay,Seaside,93955,"7,000","Monterey County commercial property tax ~1.0%. Accessible via MST."
CA,California State University, Northridge,Northridge,91330,"39,000","Los Angeles County commercial property tax ~1.2%. Accessible via LA Metro."
CA,California State University, Sacramento,Sacramento,95819,"31,000","Sacramento County commercial property tax ~1.2%. Accessible via SacRT Light Rail."
CA,California State University, San Bernardino,San Bernardino,92407,"20,000","San Bernardino County commercial property tax ~1.1%. Accessible via Omnitrans."
CA,California State University, San Marcos,San Marcos,92096,"16,000","San Diego County commercial property tax ~1.1%. Accessible via NCTD Sprinter."
CA,California State University, Stanislaus,Turlock,95382,"10,000","Stanislaus County commercial property tax ~1.1%. Accessible via The Bus."
CA,San Diego State University,San Diego,92182,"36,000","San Diego County commercial property tax ~1.1%. Accessible via MTS Trolley."
CA,San Francisco State University,San Francisco,94132,"29,000","San Francisco County commercial property tax ~1.2%. Accessible via Muni Metro."
CA,San José State University,San José,95192,"35,000","Santa Clara County commercial property tax ~1.0%. Accessible via VTA Light Rail."
CA,California Polytechnic State University, San Luis Obispo,San Luis Obispo,93407,"22,000","San Luis Obispo County commercial property tax ~1.0%. Accessible via SLORTA."
CA,California State Polytechnic University, Pomona,Pomona,91768,"29,000","Los Angeles County commercial property tax ~1.2%. Accessible via Foothill Transit."
CA,Sonoma State University,Rohnert Park,94928,"9,000","Sonoma County commercial property tax ~1.1%. Accessible via Sonoma County Transit."
CA,Humboldt State University,Arcata,95521,"7,000","Humboldt County commercial property tax ~1.0%. Accessible via A&MRTS."
CO,University of Colorado Boulder,Boulder,80309,"37,000","Boulder County commercial property tax ~1.3%. Accessible via RTD."
CO,University of Colorado Colorado Springs,Colorado Springs,80918,"12,000","El Paso County commercial property tax ~1.3%. Accessible via Mountain Metro."
CO,University of Colorado Denver,Denver,80204,"15,000","Denver County commercial property tax ~1.3%. Accessible via RTD Light Rail."
CO,Colorado State University,Fort Collins,80523,"34,000","Larimer County commercial property tax ~1.2%. Accessible via Transfort."
CO,Metropolitan State University of Denver,Denver,80204,"19,000","Denver County commercial property tax ~1.3%. Accessible via RTD Light Rail."
CO,University of Northern Colorado,Greeley,80639,"11,000","Weld County commercial property tax ~1.2%. Accessible via GET."
CO,Colorado School of Mines,Golden,80401,"7,000","Jefferson County commercial property tax ~1.2%. Accessible via RTD."
CO,Fort Lewis College,Durango,81301,"3,500","La Plata County commercial property tax ~0.8%. Accessible via Durango Transit."
CO,Western Colorado University,Gunnison,81231,"3,000","Gunnison County commercial property tax ~0.8%. Accessible via RTA."
CO,Adams State University,Alamosa,81101,"3,000","Alamosa County commercial property tax ~0.9%. Limited public transit."
CO,Colorado Mesa University,Grand Junction,81501,"11,000","Mesa County commercial property tax ~0.9%. Accessible via GVT."
CO,CSU Pueblo,Pueblo,81001,"4,000","Pueblo County commercial property tax ~1.0%. Accessible via Pueblo Transit."
CT,University of Connecticut,Storrs,06269,"27,000","Tolland County commercial property tax ~2.0%. Accessible via CTtransit."
CT,Central Connecticut State University,New Britain,06050,"11,000","Hartford County commercial property tax ~2.5%. Accessible via CTfastrak."
CT,Southern Connecticut State University,New Haven,06515,"9,000","New Haven County commercial property tax ~2.8%. Accessible via CTtransit."
CT,Eastern Connecticut State University,Willimantic,06226,"5,000","Windham County commercial property tax ~2.2%. Accessible via WRTD."
CT,Western Connecticut State University,Danbury,06810,"5,000","Fairfield County commercial property tax ~2.0%. Accessible via HARTransit."
