State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.)
AR,University of Arkansas,Fayetteville,72701,"29,000","Washington County commercial property tax ~0.9%. Accessible via Ozark Regional Transit."
AR,Arkansas State University,Jonesboro,72401,"13,000","Craighead County commercial property tax ~0.8%. Accessible via Jonesboro Economic Transit System (JETS)."
AR,University of Central Arkansas,Conway,72035,"10,000","Faulkner County commercial property tax ~0.7%. Limited public transit."
AR,University of Arkansas at Little Rock,Little Rock,72204,"9,000","Pulaski County commercial property tax ~1.1%. Accessible via Rock Region METRO."
AR,Arkansas Tech University,Russellville,72801,"9,000","Pope County commercial property tax ~0.6%. Limited public transit."
AR,Henderson State University,Arkadelphia,71999,"3,000","Clark County commercial property tax ~0.7%. Limited public transit."
AR,Southern Arkansas University,Magnolia,71753,"4,000","Columbia County commercial property tax ~0.6%. Limited public transit."
AR,University of Arkansas at Pine Bluff,Pine Bluff,71601,"2,500","Jefferson County commercial property tax ~0.9%. Limited public transit."
AR,University of Arkansas at Monticello,Monticello,71656,"3,000","Drew County commercial property tax ~0.7%. Limited public transit."
AR,University of Arkansas Fort Smith,Fort Smith,72903,"6,000","Sebastian County commercial property tax ~0.8%. Accessible via Fort Smith Transit."
