State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.),Surrounding ZIPs (5-mile radius)
IN,Purdue University,West Lafayette,47907,"50,000",Tippecanoe County commercial property tax ~1.0%. Accessible via CityBus.,"47901, 47904, 47905, 47906, 47909"
IN,Indiana University Bloomington,Bloomington,47405,"47,000",Monroe County commercial property tax ~1.1%. Accessible via Bloomington Transit.,"47401, 47402, 47403, 47404, 47406, 47407, 47408"
IN,Ball State University,Muncie,47306,"21,000",Delaware County commercial property tax ~1.2%. Accessible via MITS.,"47302, 47303, 47304, 47305, 47307, 47308"
IN,Indiana University-Purdue University Indianapolis (IUPUI),Indianapolis,46202,"29,000",Marion County commercial property tax ~1.5%. Accessible via IndyGo.,"46201, 46203, 46204, 46205, 46206, 46207, 46208, 46214, 46218, 46219, 46220, 46221, 46222, 46224, 46225, 46226, 46227, 46228, 46229, 46230, 46234, 46235, 46236, 46237, 46239, 46240, 46241, 46242, 46244, 46247, 46249, 46250, 46251, 46253, 46254, 46255, 46256, 46259, 46260, 46262, 46266, 46268, 46274, 46275, 46277, 46278, 46280, 46282, 46283, 46285, 46290, 46291, 46295, 46296, 46298"
IN,Indiana State University,Terre Haute,47809,"10,000",Vigo County commercial property tax ~1.3%. Accessible via Terre Haute Transit.,"47802, 47803, 47804, 47805, 47807, 47808"
IN,University of Southern Indiana,Evansville,47712,"9,000",Vanderburgh County commercial property tax ~1.2%. Accessible via METS.,"47710, 47711, 47713, 47714, 47715, 47716, 47720, 47725"
IN,Purdue University Fort Wayne,Fort Wayne,46805,"10,000",Allen County commercial property tax ~1.3%. Accessible via Citilink.,"46802, 46803, 46804, 46806, 46807, 46808, 46809, 46814, 46815, 46816, 46818, 46819, 46825, 46835, 46845, 46850, 46851, 46852, 46853, 46854, 46855, 46856, 46857, 46858, 46859, 46860, 46861, 46862, 46863, 46864, 46865, 46866, 46867, 46868, 46869, 46885, 46895, 46897, 46898, 46899"
IN,Indiana University Northwest,Gary,46408,"4,000",Lake County commercial property tax ~1.6%. Accessible via GPTC.,"46402, 46403, 46404, 46405, 46406, 46407, 46409"
IN,Indiana University South Bend,South Bend,46634,"5,000",St. Joseph County commercial property tax ~1.4%. Accessible via Transpo.,"46601, 46613, 46614, 46615, 46616, 46617, 46619, 46624, 46626, 46628, 46635, 46637, 46660, 46680, 46699"
IN,Indiana University Southeast,New Albany,47150,"4,000",Floyd County commercial property tax ~1.2%. Accessible via TARC.,"47129, 47130, 47146, 47151"
IN,Indiana University East,Richmond,47374,"3,000",Wayne County commercial property tax ~1.2%. Accessible via Rose View Transit.,"47375"
IN,Indiana University Kokomo,Kokomo,46904,"3,000",Howard County commercial property tax ~1.3%. Accessible via Kokomo City Line.,"46901, 46902, 46903"
