State,University Name,City,ZIP Code,Enrollment (approx.),Notes (Accessibility, Taxes, etc.)
MI,University of Michigan,Ann Arbor,48109,"50,000",Washtenaw County commercial property tax ~2.0%. Accessible via TheRide.
MI,Michigan State University,East Lansing,48824,"50,000",Ingham County commercial property tax ~2.2%. Accessible via CATA.
MI,Wayne State University,Detroit,48202,"26,000","Wayne County commercial property tax ~2.8%. Accessible via DDOT, QLINE."
MI,Central Michigan University,Mount Pleasant,48859,"17,000",Isabella County commercial property tax ~2.0%. Accessible via I-Ride.
MI,Western Michigan University,Kalamazoo,49008,"21,000",Kalamazoo County commercial property tax ~2.4%. Accessible via Metro Transit.
MI,Eastern Michigan University,Ypsilanti,48197,"16,000",Washtenaw County commercial property tax ~2.0%. Accessible via TheRide.
MI,Oakland University,Rochester,48309,"19,000",Oakland County commercial property tax ~1.8%. Accessible via SMART.
MI,Grand Valley State University,Allendale,49401,"23,000",Ottawa County commercial property tax ~1.6%. Accessible via The Rapid.
MI,Ferris State University,Big Rapids,49307,"11,000",Mecosta County commercial property tax ~1.9%. Accessible via B-R-T.
MI,Michigan Technological University,Houghton,49931,"7,000",Houghton County commercial property tax ~1.7%. Accessible via Houghton Transit.
MI,Northern Michigan University,Marquette,49855,"7,500",Marquette County commercial property tax ~1.8%. Accessible via Marq-Tran.
MI,Saginaw Valley State University,University Center,48710,"8,000",Saginaw County commercial property tax ~2.1%. Accessible via STARS.
MI,Lake Superior State University,Sault Ste. Marie,49783,"2,000",Chippewa County commercial property tax ~1.6%. Accessible via Soo Transit.
